time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],dg[unit=""],duEW[unit=""],duNS[unit=""],duV[unit=""]
2024-01-01T12:00:00Z,-7.609444,112.595556,0.5555136203765869,0.000347363471519202,-0.0023691058158874,-0.0048339320346713
2024-01-02T12:00:00Z,-7.609444,112.595556,0.57133948802948,0.0003812727809417993,-0.0023727451916784,-0.0048526423051953
2024-01-03T12:00:00Z,-7.609444,112.595556,0.5867892503738403,0.000395701703382656,-0.0023806046228855,-0.004860361572355
2024-01-04T12:00:00Z,-7.609444,112.595556,0.618884265422821,0.0004007304669357836,-0.002375308657065,-0.0049176765605807
2024-01-05T12:00:00Z,-7.609444,112.595556,0.6422091126441956,0.0003993322898168117,-0.0023974569048732,-0.004956710152328
2024-01-06T12:00:00Z,-7.609444,112.595556,0.6970796585083008,0.0003850339271593839,-0.0024139708839356,-0.0051344456151127
2024-01-07T12:00:00Z,-7.609444,112.595556,0.7460924386978149,0.0003791711642406881,-0.0024325444828718,-0.0053223040886223
2024-01-08T12:00:00Z,-7.609444,112.595556,0.7793020009994507,0.0003816096868831664,-0.0024637659080326,-0.0054305824451148
2024-01-09T12:00:00Z,-7.609444,112.595556,0.8091298341751099,0.000370221387129277,-0.0025238073430955,-0.0054661910980939
2024-01-10T12:00:00Z,-7.609444,112.595556,0.8459670543670654,0.00036690913839265693,-0.0025598346255719,-0.0055398987606167
2024-01-11T12:00:00Z,-7.609444,112.595556,0.8591418266296387,0.0003780198749154806,-0.0025749020278453,-0.0055514867417514
2024-01-12T12:00:00Z,-7.609444,112.595556,0.8581583499908447,0.0003945925855077803,-0.0025910299737006,-0.0055033448152244
2024-01-13T12:00:00Z,-7.609444,112.595556,0.8594632148742676,0.0004114251642022282,-0.0026099565438926,-0.0054741171188652
2024-01-14T12:00:00Z,-7.609444,112.595556,0.8587017059326172,0.0004357248835731298,-0.0026344696525484,-0.0054493490606546
2024-01-15T12:00:00Z,-7.609444,112.595556,0.8717292547225952,0.0004572254838421941,-0.0026487105060368,-0.005502413958311
2024-01-16T12:00:00Z,-7.609444,112.595556,0.8916274309158325,0.00047601910773664713,-0.0026514006312936,-0.0055766659788787
2024-01-17T12:00:00Z,-7.609444,112.595556,0.9409542679786682,0.0004751927335746586,-0.0026744653005152,-0.0057402797974646
2024-01-18T12:00:00Z,-7.609444,112.595556,0.9824875593185424,0.00047366874059662223,-0.0026799056213349,-0.0058895042166113
2024-01-19T12:00:00Z,-7.609444,112.595556,1.0051300525665283,0.00046291545731946826,-0.0027043481823056,-0.0059820115566253
2024-01-20T12:00:00Z,-7.609444,112.595556,0.997608482837677,0.0004815322463400662,-0.002733243862167,-0.0059553612954914
2024-01-21T12:00:00Z,-7.609444,112.595556,0.9913439750671388,0.0004953640745952725,-0.0027726301923394,-0.0059365900233387
2024-01-22T12:00:00Z,-7.609444,112.595556,0.9892465472221376,0.0004888373077847064,-0.002823970047757,-0.0058832452632486
2024-01-23T12:00:00Z,-7.609444,112.595556,0.9861509203910828,0.0004917191690765321,-0.0028569672722369,-0.005807633511722
2024-01-24T12:00:00Z,-7.609444,112.595556,0.9994485974311828,0.00048550034989602864,-0.0028969403356313,-0.0058017959818243
2024-01-25T12:00:00Z,-7.609444,112.595556,1.0152727365493774,0.0004750083317048848,-0.0029122005216777,-0.0058079715818166
2024-01-26T12:00:00Z,-7.609444,112.595556,1.0367755889892578,0.00046289825695566833,-0.0029412794392555,-0.0058469697833061
2024-01-27T12:00:00Z,-7.609444,112.595556,1.0500092506408691,0.0004378552839625627,-0.0029676903504878,-0.0058380072005093
2024-01-28T12:00:00Z,-7.609444,112.595556,1.06608784198761,0.00042211872641928494,-0.002995986957103,-0.0058565693907439
